100245,"Pine Belt Tel. Co., Inc."
100246,"Allpage, Inc."
100247,"Lightship Telecom, LLC"
100248,"Tallahassee Telephone Exchange, Inc."
100249,"Tel West Communications, LLC"
100250,"Nex-Tech Wireless, LLC"
100251,"Tidalwave Telephone, Inc."
100252,"Xspedius Management Co. Switched Services, LLC"
100253,South Central Wireless dba SC Telcom - KS
100254,"Webshoppe Communications, Inc. - AL"
100255,KMC Telecom
100255,KMC Telecom
100256,"NECLEC, LLC"
100257,"Ben Lomand Communications, Inc."
100258,"New Frontiers Telecommunications, Inc."
100259,"Essex Telcom, Inc."
100260,ITC^Delta Com
100261,"Telnet Worldwide, Inc."
100262,Electric Power Board of Chattanooga
100263,"Springboard Telecom, LLC - NC"
100264,"Highspeed.Com, LLC"
100265,"DSLnet Communications VA, Inc."
100266,"Eagle Communications, Inc."
100267,"Marathon Communications, Inc."
100268,"Dixie Net Communications, LLC"
100269,Cavalier Telephone
100269,Cavalier Telephone
100269,Cavalier Telephone
100270,"Optel Telecom, Inc. (Clec)"
100271,"Actel Integrated Communications, Inc."
100272,"PrairieWave Telecommunications, Inc."
100273,Daytona Telephone Company
100274,"Coast To Coast Telecomm., Inc."
100275,"Smartcom Telephone, LLC"
100276,"Ionex Communications, Inc. - Overall"
100277,"NTS Communications, Inc."
100278,"International Telecom, Ltd."
100279,"Louisiana Competitive Telecommunications, Inc."
100280,SureWest Telephone
100281,"Stratos Telecom, Inc."
100282,"Cablevision Lightpath, Inc."
100283,Guam Cellular & Paging
100284,"Global NAPs, Inc."
100285,"ATS Telecommunications Systems, Inc. dba ATS"
100286,Connect Holdings Corporation
100287,"Genesis Telecommunications, LLC - SC"
100288,Scindo Networks Inc. - CO
100289,"GCI Communication Corp. dba General Communication, Inc."
100290,Southern New England Tel Co
100291,"Worldnet, LLC dba Sunflower Cablevision - KS"
100292,"Globalcom, Inc."
100293,"CRC Communications, Inc."
100294,"Advanced Communications Technology, Inc."
100295,"Hargray Tel. Co., Inc."
100296,"Local Fiber, LLC"
100297,"Netcarrier Telecom, Inc."
100298,"Metro PCS, Inc."
100299,"Charter Fiberlink, LLC"
